timestamp,score,direction,decision,reason
2025-06-20 20:00:00+00:00,-0.319,short,NO_TRADE,Discount zone con intent SHORT y confluence negativa.
2025-06-25 08:00:00+00:00,0.393,long,NO_TRADE,Premium zone + intent LONG con alta volatilidad y sin refuerzos adicionales.
2025-06-25 12:00:00+00:00,0.423,long,NO_TRADE,Premium zone + intent LONG con volatilidad extrema.
2025-06-25 16:00:00+00:00,0.412,long,NO_TRADE,Premium zone + intent LONG y BBW > 8%
2025-06-25 20:00:00+00:00,0.406,long,NO_TRADE,Premium zone + intent LONG y BBW > 8%.
2025-06-26 00:00:00+00:00,0.315,long,NO_TRADE,Premium zone + intent LONG con BBW > 8% indica alto riesgo de whipsaw.
2025-06-26 04:00:00+00:00,0.308,long,NO_TRADE,Premium zone + intent LONG con BBW > 8% indica alto riesgo de whipsaw.
2025-07-07 00:00:00+00:00,0.312,long,NO_TRADE,Premium zone + intent LONG con trend ICT en contra.
2025-07-07 04:00:00+00:00,0.358,long,NO_TRADE,Premium zone + intent LONG y Trend ICT en CONTRA de la dirección del trade.
2025-07-08 20:00:00+00:00,0.36,long,NO_TRADE,Premium zone + intent LONG y Trend ICT en CONTRA de la dirección del trade.
2025-07-11 00:00:00+00:00,0.323,long,NO_TRADE,Premium zone + intent LONG y BBW > 8%.
2025-07-11 08:00:00+00:00,0.382,long,NO_TRADE,Premium zone + intent LONG y BBW > 8%.
2025-07-11 16:00:00+00:00,0.382,long,NO_TRADE,Premium zone + intent LONG y BBW > 8%.
2025-07-11 20:00:00+00:00,0.395,long,NO_TRADE,Premium zone + intent LONG y BBW > 8%.
2025-07-18 00:00:00+00:00,0.437,long,NO_TRADE,Premium zone + intent LONG con trend ICT en CONTRA.
2025-07-20 00:00:00+00:00,0.305,long,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-07-20 08:00:00+00:00,0.317,long,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-01 16:00:00+00:00,-0.304,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-08-02 08:00:00+00:00,-0.317,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-08-18 00:00:00+00:00,-0.317,short,NO_TRADE,Discount zone con intent SHORT y confluence negativa.
2025-08-18 16:00:00+00:00,-0.336,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-08-18 20:00:00+00:00,-0.336,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-08-20 04:00:00+00:00,-0.412,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-08-24 16:00:00+00:00,-0.361,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-08-28 16:00:00+00:00,-0.386,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-29 04:00:00+00:00,-0.47,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-29 08:00:00+00:00,-0.494,short,NO_TRADE,Premium zone + intent LONG y Trend ICT en CONTRA de la dirección del trade.
2025-08-29 12:00:00+00:00,-0.486,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-29 16:00:00+00:00,-0.475,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-29 20:00:00+00:00,-0.475,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-30 00:00:00+00:00,-0.475,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-30 04:00:00+00:00,-0.475,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-30 08:00:00+00:00,-0.314,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-08-30 12:00:00+00:00,-0.313,short,NO_TRADE,"Premium zone + intent LONG, contra zona."
2025-09-04 12:00:00+00:00,-0.438,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-09-04 16:00:00+00:00,-0.446,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-09-06 12:00:00+00:00,-0.313,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-09-06 16:00:00+00:00,-0.502,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-09-06 20:00:00+00:00,-0.507,short,NO_TRADE,Trend ICT en CONTRA de la dirección del trade.
2025-09-22 16:00:00+00:00,-0.304,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-09-25 16:00:00+00:00,-0.459,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-09-26 00:00:00+00:00,-0.464,short,NO_TRADE,Discount zone con intent short y confluence negativa.
2025-09-26 04:00:00+00:00,-0.464,short,NO_TRADE,Discount zone con intent SHORT y confluence negativa.
